"Four-Year Graduation Rates, Trend"
"All Districts, High Needs Status"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","High Needs Status","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","High Needs",50.0,"*","*","*","*"
"Amistad Academy District","Non-High Needs",69.2,"*","*","*","*"
"Ansonia School District","High Needs",55.8,69.7,69.6,70.8,80.3
"Ansonia School District","Non-High Needs",85.7,90.5,92.6,90.9,97.1
"Avon School District","High Needs",84.4,84.8,87.2,88.6,87.5
"Avon School District","Non-High Needs",97.3,98.3,97.7,99.1,98.0
"Berlin School District","High Needs",86.4,86.2,86.3,83.9,82.1
"Berlin School District","Non-High Needs",95.4,97.5,98.6,98.8,98.1
"Bethel School District","High Needs",73.9,83.1,75.4,84.0,89.6
"Bethel School District","Non-High Needs",97.1,97.8,98.8,96.9,99.3
"Bloomfield School District","High Needs",66.7,70.5,83.8,86.7,82.6
"Bloomfield School District","Non-High Needs",80.6,90.5,95.5,89.8,98.2
"Bolton School District","High Needs",80.0,53.3,95.0,66.7,85.0
"Bolton School District","Non-High Needs",96.9,100.0,98.4,100.0,100.0
"Branford School District","High Needs",80.0,87.4,85.5,81.3,77.6
"Branford School District","Non-High Needs",98.1,95.9,95.2,96.8,96.4
"Bridgeport Achievement First District","High Needs","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Non-High Needs","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","High Needs",60.6,"*",67.2,"*","*"
"Bridgeport School District","Non-High Needs",58.8,"*",87.5,"*","*"
"Bristol School District","High Needs",61.3,74.6,65.4,70.5,70.0
"Bristol School District","Non-High Needs",84.8,94.1,93.3,92.7,95.8
"Brookfield School District","High Needs",80.0,84.4,85.7,89.1,87.0
"Brookfield School District","Non-High Needs",95.9,99.1,98.0,98.9,97.4
"Canton School District","High Needs",84.2,94.1,81.3,79.2,84.6
"Canton School District","Non-High Needs",96.0,98.0,98.9,97.3,98.1
"Capitol Region Education Council","High Needs",77.8,75.5,83.1,86.8,86.0
"Capitol Region Education Council","Non-High Needs",87.9,87.0,87.5,91.7,96.9
"Cheshire School District","High Needs",76.4,83.9,79.5,81.3,85.7
"Cheshire School District","Non-High Needs",98.1,99.1,98.6,99.7,100.0
"Clinton School District","High Needs",88.6,87.9,75.9,80.6,76.5
"Clinton School District","Non-High Needs",93.6,94.4,95.6,96.1,96.4
"Colchester School District","High Needs",85.7,84.6,80.0,86.2,82.6
"Colchester School District","Non-High Needs",94.2,98.3,97.0,98.4,96.2
"Common Ground High School District","High Needs",81.5,88.0,86.7,86.4,100.0
"Common Ground High School District","Non-High Needs",100.0,100.0,100.0,100.0,100.0
