"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Achievement First Hartford Academy District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","High Needs","Total Cohort Count","Number","35"
"Achievement First Hartford Academy District","","2015-2016","Non-High Needs","Total Cohort Count","Number","N/A"
"Achievement First Hartford Academy District","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","N/A"
"Achievement First Hartford Academy District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","N/A"
"Achievement First Hartford Academy District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","N/A"
"Achievement First Hartford Academy District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","N/A"
